ID;Movimiento;Tipo;DMG;PP;Tiempo;Atributo;Habilidad;Acc;Efecto;Efecto RPG;CD;Base;Blanco;Prioridad;Distancia;Categoria;Nivel;Moves
M0001;Ala de Acero;Acero;DB + 1d8;1 PP;2 Acciones;Destreza;Combatir;-1;10% de aumentar un nivel la Defensa al usuario.;"CD 18 de Aumentar +1 VIT
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);-;02 Amateur [A];Steel Wing
M0002;Aligerar;Acero;-;1 cada 2 Rondas;;Destreza;Acrobacia;-;Aumenta dos niveles la Velocidad al usuario. Su peso queda reducido en 100 kg.;;;Otros;Usuario;0;-;-;Begginer;Autotomize
M0003;Allanador Ferreo;Acero;DB + 2d6;1 cada 3 Rondas;;Destreza;Combate;+1;Elimina el campo activo en combate. El movimiento falla si no hay un campo activo.;;;Fisico;Elegido;0;Contacto;-;Amateur;Steel Roller
M0004;Anclaje;Acero;DB + 1d8;2 Rondas;2 Acciones;Destreza;Combatir;1;Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o ultima Palabra, o si tiene Muda Concha o Boton Escape.;Bloquea al Blanco.;;Fisico;Elegido;0;Contacto (5ft);Prision;02 Amateur [A];Anchor Shot
M0005;Bomba Iman;Acero;DB + 1d6 + 1;1/Ronda;;Destreza;Lanzar;-;Siempre golpea.;;;Fisico;Elegido;0;Rango;Proyectil;Begginer;Magnet Bomb
M0006;Cabeza de Hierro;Acero;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso
/r [[1d20]]";CD 14;Fisico;Elegido;0;Contacto (5ft);Retroceso;03 Elite [E];Iron Head
M0007;Cambio de Marcha;Acero;-;1 cada 2 Rondas;;Destreza;Naturaleza;-;Aumenta dos niveles la Velocidad del usuario y un nivel su Ataque.;;;Otros;Usuario;0;-;-;Ace;Shift Gear
M0008;Cola Ferrea;Acero;DB + 1d6 + 2;1 Ronda;2 Acciones;Destreza;Combatir;-3;30% de reducir un nivel la Defensa al rival.;"CD 14 de Reducir -1 VIT
/r [[1d20]]";CD 14;Fisico;Elegido;0;Contacto (5ft);-;03 Elite [E];Iron Tail
M0009;Cuerno Certero;Acero;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;5;Siempre golpea.;-;;Fisico;Elegido;0;Contacto (5ft);-;03 Elite [E];Smart Strike
M0010;Cuerpo Pesado;Acero;Xd4;1 Ronda;2 Acciones;Destreza;Atletismo;1;Este movimiento tiene un poder base variable en funcion del peso del usuario y del Pokemon rival.;El Dmg de este movimiento aumenta 1d4 por cada punto de VIT adicional del Usuario contra la VIT del Blanco  (Max 5d4);;Fisico;Elegido;0;Contacto (5ft);Creciente;02 Amateur [A];Heavy Slam
M0011;Defensa Ferrea;Acero;-;1 Ronda;2 Acciones;Vitalidad;Atletismo;0;Aumenta dos niveles la Defensa al usuario.;Aumenta +2 VIT;;Otros;Usuario;0;Propio;-;02 Amateur [A];Iron Defense
M0012;Deseo Oculto;Acero;DB + 3d4;1 cada 3 Rondas;;Sabiduria;Empatia;+1;Este ataque golpeara al objetivo al final del segundo turno tras su uso. Mientras, se pueden usar otros ataques y tanto el usuario como el rival pueden ser intercambiados.;;;Especial;Elegido;0;Rango;-;Pro;Doom Desire
M0013;Disparo Espejo;Acero;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Lanzar;-2;30% de reducir un nivel la Precision al rival.;"CD 14 de Reducir -1 ACC
/r [[1d20]]";CD 14;Especial;Elegido;-1;Larga (40 ft);-;02 Amateur [A];Mirror Shot
M0014;Eco Metalico;Acero;-;2/Ronda;;Carisma;Artes;-2;Baja dos niveles la Defensa Especial al rival.;;;Otros;Elegido;0;-;Sonido;Amateur;Metal Sound
M0015;Embate Supremo;Acero;DB + 1d6 + 2;1 cada 3 Rondas;;Destreza;Combate;+1;El daño se duplica si el objetivo esta en Forma Dinamax.;;;Fisico;Elegido;3;Contacto;-;Pro;Behemoth Bash
M0016;Escudo Real;Acero;-;4 PP;Reaccion;Destreza;Atletismo;0;Evita todo da¤o directo de movimientos del rival. Su precision se reduce con cada uso consecutivo. Reduce un nivel el Ataque del Pokemon que intente tocarlo.;Evita todo Dmg directo y efectos de movimientos del rival. Si el movimiento bloqueado era de contacto, Reduce -1 FUE del rival;;Otros;Elegido;4;Propio;Escudo;04 Master [M];King?s Shield
M0017;Ferropuño Doble;Acero;DB + 1d6 + 1;2 Ronda;1 Accion;Fuerza;Combatir;1;30% de hacer retroceder al rival. Golpea 2 veces seguidas.;"CD 14 de causar Retroceso; Puede usarse hasta 2 veces por Ronda
/r [[1d20]]";CD 14;Fisico;Elegido;0;Contacto (5ft);"¤; Puño; Recurrente; Retroceso";05 Legend [L];Double Iron Bash
M0018;Fiebre Dorada;Acero;DB + 2d6;1 cada 3 Rondas;;Destreza;Canalizar;+1;Baja un nivel el Ataque Especial al usuario. Recolecta dinero tras batallas contra Pokemon salvajes o entrenadores del juego.;;;Especial;Oponentes;0;Area;-;Ace;Make It Rain
M0019;Foco Resplandor;Acero;DB + 1d8;1 Ronda;2 Acciones;Energia;Canalizar;1;10% de reducir un nivel la Defensa Especial al rival.;"CD 18 de Reducir -1 SAB
/r [[1d20]]";CD 18;Especial;Oponentes;0;Cono (15 ft);-;03 Elite [E];Flash Cannon
M0020;Garra Metal;Acero;DB + 1d6;1 PP;2 Acciones;Destreza;Combatir;0;10% de aumentar un nivel el Ataque al usuario.;"CD 18 de Aumentar +1 FUE
/r [[1d20]]";CD 18;Fisico;Elegido;0;Contacto (5ft);-;01 Beginner [B];Metal Claw
M0021;Giro Bola;Acero;Xd4;1 Ronda;2 Acciones;Destreza;Lanzar;1;El poder es mayor cuanto mas lento el usuario frente al rival. El da¤o sera: 1 + (Vel.Rival / Vel.Usuario) x 25 (incluye modificadores de Velocidad, max. 150).;El Dmg de este movimiento aumenta 1d4 por cada punto de DES adicional del Blanco contra la DES del Usuario  (Max 5d4);;Fisico;Elegido;0;Lanzar (25ft);"Proyectil; Creciente";02 Amateur [A];Gyro Ball
M0022;Martillo Colosal;Acero;DB + 3d4;1 cada 3 Rondas;;Destreza;Combate;+1;El usuario no puede usar este ataque dos veces seguidas.;;;Fisico;Elegido;0;Contacto;-;Ace;Gigaton Hammer
M0023;Metalaser;Acero;DB + 3d4;1 cada 3 Rondas;;Energia;Canalizar;;El usuario recibe un daño equivalente al 50% de su PS maximo.;;;Especial;Elegido;0;Rango;-;Ace;Steel Beam
M0024;Meteoimpacto;Acero;DB + 1d6 + 2;1 cada 3 Rondas;;Destreza;Canalizar;+1;Ignora las habilidades de los Pokemon en juego.;;;Fisico;Elegido;0;Contacto;Letal;Pro;Sunsteel Strike
M0025;Piñon Auxiliar;Acero;-;1/Ronda;;Vitalidad;Naturaleza;-;Aumenta un nivel el Ataque y el Ataque Especial al usuario y sus aliados con la habilidad Mas o Menos.;;;Otros;Aliado;0;-;¤;Amateur;Gear Up
M0026;Prensa Metalica;Acero;Xd4;2 Rondas;2 Acciones;Vitalidad;Combatir;1;El poder del movimiento es mayor cuanto mas PS le quede al rival. El poder base sera: (PS Actual Rival / PS Maximo Rival) x 100 (max. 100).;El Dmg de este movimiento disminuye en 1d4 por cada punto de PS perdido por el Blanco, iniciando en 5d4;;Fisico;Elegido;0;Contacto (5ft);-;03 Elite [E];Hard Press
M0027;Puño Bala;Acero;DB + 1d4 + 1;1 PP;Reaccion;Destreza;Acrobacias;1;Golpea primero.;Sin Efecto;;Fisico;Elegido;2;Contacto (5ft);"¤; Puño";01 Beginner [B];Bullet Punch
M0028;Puño Meteoro;Acero;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;-1;20% de aumentar un nivel el Ataque al usuario.;"CD 16 de Aumentar +1 FUE
/r [[1d20]]";CD 16;Fisico;Elegido;0;Contacto (5ft);"¤; Puño";03 Elite [E];Meteor Mash
M0029;Quemarrueda;Acero;DB + 1d6 + 2;1 cada 3 Rondas;;Destreza;Acrobacia;+1;Baja dos niveles la Velocidad al usuario.;;;Fisico;Elegido;0;Contacto;-;Amateur;Spin Out
M0030;Represion Metal;Acero;-;1 cada 2 Rondas;;Vitalidad;Aguante;+1;Causa un daño equivalente al 150% del daño causado por el ataque del rival ese turno. Debe ser utilizado despues del ataque del rival.;;;Fisico;Elegido;0;Rango;-;Ace;Metal Burst
M0031;Retraccion;Acero;-;1 cada 2 Rondas;;Vitalidad;Aguante;-;Aumenta dos niveles la Defensa al usuario.;;;Otros;Usuario;0;-;-;Amateur;Shelter
