ID;Ndex;Pokemon;Alternativo;Cadena;Etapa;Nivel;Tipo1;Tipo2;Habilidad_1;Habilidad_2;Habilidad_3;FUE;VIT;ENE;SAB;DES;CAR;PS_min;Total_min;Velocidad
0001_1;#0001;Bulbasaur;Kanto;Bulbasaur;Basico;Starter;Planta;Veneno;Espesura;Espesura;Clorofila;1;1;2;2;1;2;8;9;Suave
0002_1;#0002;Ivysaur;Kanto;Bulbasaur;Evolucion;Amateur;Planta;Veneno;Espesura;Espesura;Clorofila;2;2;3;3;2;3;15;15;Suave
0003_1;#0003;Venusaur;Kanto;Bulbasaur;Avanzada;Master;Planta;Veneno;Espesura;Espesura;Clorofila;3;3;4;4;3;3;19;20;Normal
0003_2;#0003;Venusaur;Mega;Bulbasaur;Mega;Legend;Planta;Veneno;Sebo;Sebo;Sebo;4;4;4;4;3;3;25;22;Normal
0004_1;#0004;Charmander;Kanto;Charmander;Basico;Begginer;Fuego;Fuego;Marllamas;Marllamas;Podersolar;2;1;2;2;2;2;10;11;Normal
0005_1;#0005;Charmeleon;Kanto;Charmander;Evolucion;Amateur;Fuego;Fuego;Marllamas;Marllamas;Podersolar;2;2;3;2;3;3;15;15;Normal
0006_1;#0006;Charizard;Kanto;Charmander;Avanzada;Master;Fuego;Volador;Marllamas;Marllamas;Podersolar;3;3;4;3;4;3;19;20;Rapido
0006_2;#0006;Charizard;Mega X;Charmander;Mega;Legend;Fuego;Dragon;Garradura;Garradura;Garradura;5;4;5;3;4;3;25;24;Fugaz
0006_3;#0006;Charizard;Mega Y;Charmander;Mega;Legend;Fuego;Volador;Sequia;Sequia;Sequia;4;3;6;4;4;3;25;24;Fugaz
0007_1;#0007;Squirtle;Kanto;Squirtle;Basico;Begginer;Agua;Agua;Torrente;Torrente;Curalluvia;1;2;2;2;1;2;10;10;Suave
0008_1;#0008;Wartortle;Kanto;Squirtle;Evolucion;Amateur;Agua;Agua;Torrente;Torrente;Curalluvia;2;3;2;3;2;3;15;15;Suave
0009_1;#0009;Blastoise;Kanto;Squirtle;Avanzada;Master;Agua;Agua;Torrente;Torrente;Curalluvia;3;4;3;4;3;3;19;20;Normal
0009_2;#0009;Blastoise;Mega;Squirtle;Mega;Legend;Agua;Agua;Megadisparador;Megadisparador;Megadisparador;4;4;5;4;3;3;25;23;Normal
0010_1;#0010;Caterpie;Kanto;Caterpie;Basico;Starter;Bicho;Bicho;Polvoescudo;Polvoescudo;Fuga;1;1;1;1;1;2;8;7;Suave
0011_1;#0011;Metapod;Kanto;Caterpie;Evolucion;Starter;Bicho;Bicho;Mudar;Mudar;Mudar;1;2;1;1;1;3;11;9;Lento
0012_1;#0012;Butterfree;Kanto;Caterpie;Avanzada;Amateur;Bicho;Volador;Ojocompuesto;Ojocompuesto;Cromolente;1;2;3;3;2;3;15;14;Normal
0013_1;#0013;Weedle;Kanto;Weedle;Basico;Starter;Bicho;Veneno;Polvoescudo;Polvoescudo;Fuga;1;1;1;1;2;2;8;8;Suave
0014_1;#0014;Kakuna;Kanto;Weedle;Evolucion;Starter;Bicho;Veneno;Mudar;Mudar;Mudar;1;2;1;1;1;2;8;8;Lento
0015_1;#0015;Beedrill;Kanto;Weedle;Avanzada;Amateur;Bicho;Veneno;Enjambre;Enjambre;Francotirador;3;1;1;3;3;3;15;14;Normal
0015_2;#0015;Beedrill;Mega;Weedle;Mega;Legend;Bicho;Veneno;Adaptable;Adaptable;Adaptable;6;1;1;3;5;3;25;19;Rapido
0016_1;#0016;Pidgey;Kanto;Pidgey;Basico;Starter;Normal;Volador;Vistalince;Tumbos;Sacapecho;1;1;1;1;2;2;8;8;Suave
0017_1;#0017;Pidgeotto;Kanto;Pidgey;Evolucion;Begginer;Normal;Volador;Vistalince;Tumbos;Sacapecho;2;2;2;2;2;3;13;13;Normal
0018_1;#0018;Pidgeot;Kanto;Pidgey;Avanzada;Elite;Normal;Volador;Vistalince;Tumbos;Sacapecho;3;3;2;2;4;3;17;17;Rapido
0018_2;#0018;Pidgeot;Mega;Pidgey;Mega;Legend;Normal;Volador;Indefenso;Indefenso;Indefenso;3;3;5;3;4;3;25;21;Rapido
0019_1;#0019;Rattata;Kanto;Rattata;Basico;Starter;Normal;Normal;Agallas;Fuga;Entusiasmo;2;1;1;1;2;2;8;9;Normal
0019_2;#0019;Rattata;Alola;Rattata;Basico;Starter;Siniestro;Normal;Gula;Entusiasmo;Sebo;2;1;1;1;2;2;8;9;Normal
0020_1;#0020;Raticate;Alola;Rattata;Avanzada;Amateur;Siniestro;Normal;Gula;Entusiasmo;Sebo;2;2;1;3;3;3;15;14;Normal
0020_2;#0020;Raticate;Kanto;Rattata;Avanzada;Amateur;Normal;Normal;Agallas;Fuga;Entusiasmo;3;2;2;2;3;3;15;15;Normal
0021_1;#0021;Spearow;Kanto;Spearow;Basico;Starter;Normal;Volador;Vistalince;Vistalince;Francotirador;2;1;1;1;2;2;8;9;Normal
0022_1;#0022;Fearow;Kanto;Spearow;Avanzada;Amateur;Normal;Volador;Vistalince;Vistalince;Francotirador;3;2;2;2;4;3;15;16;Rapido
0023_1;#0023;Ekans;Kanto;Ekans;Basico;Begginer;Veneno;Veneno;Intimidacion;Mudar;Nerviosismo;2;1;1;2;2;2;10;10;Suave
0024_1;#0024;Arbok;Kanto;Ekans;Evolucion;Amateur;Veneno;Veneno;Intimidacion;Mudar;Nerviosismo;3;2;2;3;3;3;15;16;Normal
0025_1;#0025;Pikachu;Kanto;Pichu;Basico;Begginer;Electrico;Electrico;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
0025_2;#0025;Pikachu;Let's Go;Pichu;Basico;Amateur;Electrico;Electrico;Electricidadestatica;Electricidadestatica;Pararrayos;3;2;3;2;4;2;12;16;Rapido
