ID;Movimiento;Tipo;DMG;CD;Tiempo;Atributo;Habilidad;Acc;Efecto;Efecto RPG;Base;Blanco;Prioridad;Distancia;Categoria;Nivel;Name;Comando;Moves
ID_1;Destructor;Normal;DB + 1d4 + 1;2 / Ronda;2 Acciones;Destreza;Combatir;+1;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Starter;Destructor (2A);"/me Destructor
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d4 + 1]]
CoolDown: 2 / Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Pound
ID_2;Golpe Karate;Lucha;DB + 1d6;0 Rondas;2 Acciones;Destreza;Combatir;+1;Alta probabilidad de Golpe Critico.;Reduce valor critico en 1;Fisico;Elegido;0;Contacto (5ft);Preciso;Begginer;Golpe Karate (2A);"/me Golpe Karate
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Lucha ; Da§o:
[[@{Fuerza} + 1d6]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: Reduce valor critico en 1
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Preciso";Karate Chop
ID_3;Doble Bofeton;Normal;DB;1 Ronda;1 Accion;Destreza;Combatir;0;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;Fisico;Elegido;0;Contacto (5ft);Recurrente;Amateur;Doble Bofeton (1A);"/me Doble Bofeton
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} 0]]
Tipo: Normal ; Da§o:
[[@{Fuerza}]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: Puede usarse consecutivamente
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Recurrente";Double Slap
ID_4;Pu§o Cometa;Normal;DB;1 Ronda;1 Accion;Destreza;Combatir;0;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;Fisico;Elegido;0;Contacto (5ft);"Pu§o; Recurrente";Amateur;Pu§o Cometa (1A);"/me Pu§o Cometa
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} 0]]
Tipo: Normal ; Da§o:
[[@{Fuerza}]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: Puede usarse consecutivamente
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Pu§o; Recurrente";Comet Punch
ID_5;Megapu§o;Normal;DB + 1d8;0 Rondas;2 Acciones;Destreza;Combatir;-2;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);Pu§o;Amateur;Megapu§o (2A);"/me Megapu§o
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -2]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Pu§o";Mega Punch
ID_7;Pu§o Fuego;Fuego;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;+1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);"Pu§o; Quemadura";Begginer;Pu§o Fuego (2A);"/me Pu§o Fuego
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Fuego ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Quemar al rival.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Pu§o; Quemadura";Fire Punch
ID_8;Pu§o Hielo;Hielo;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;+1;10% de congelar al rival.;"CD 18 de Congelar al rival.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);"Pu§o; Congelacion";Begginer;Pu§o Hielo (2A);"/me Pu§o Hielo
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Hielo ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Congelar al rival.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Pu§o; Congelacion";Ice Punch
ID_9;Pu§o Trueno;Electrico;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;+1;10% de paralizar al rival.;"CD 18 de Paralizar al rival.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);"Pu§o; Paralisis";Begginer;Pu§o Trueno (2A);"/me Pu§o Trueno
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Electrico ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Paralizar al rival.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Pu§o; Paralisis";Thunder Punch
ID_10;Ara§azo;Normal;DB + 1d4 + 1;2 / Ronda;2 Acciones;Destreza;Combatir;+1;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Starter;Ara§azo (2A);"/me Ara§azo
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d4 + 1]]
CoolDown: 2 / Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Scratch
ID_11;Agarre;Normal;DB + 1d6;0 Rondas;2 Acciones;Destreza;Combatir;+1;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Begginer;Agarre (2A);"/me Agarre
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d6]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Vise Grip
