ID;Ndex;Pok‚mon;Alternativo;Cadena;Etapa;Nivel;Tipo1;Tipo2;Habilidad_1;Habilidad_2;Habilidad_3;FUE;VIT;ENE;SAB;DES;CAR;PS_min;Total_min;Velocidad
1_1;#0001;Bulbasaur;;Bulbasaur;B sico;Starter;Planta;Veneno;Espesura;Espesura;Clorofila;1;1;2;2;1;2;8;9;Suave
2_1;#0002;Ivysaur;;Bulbasaur;Evoluci¢n;Amateur;Planta;Veneno;Espesura;Espesura;Clorofila;2;2;3;3;2;3;15;15;Suave
3_1;#0003;Venusaur;;Bulbasaur;Avanzada;Pro;Planta;Veneno;Espesura;Espesura;Clorofila;3;3;4;4;3;3;19;20;Normal
3_2;#0003;Venusaur;Mega-Venusaur;Bulbasaur;Mega;Legend;Planta;Veneno;Sebo;Sebo;Sebo;4;4;4;4;3;3;25;22;Normal
4_1;#0004;Charmander;;Charmander;B sico;Begginer;Fuego;NA;Marllamas;Marllamas;Podersolar;2;1;2;2;2;2;10;11;Normal
5_1;#0005;Charmeleon;;Charmander;Evoluci¢n;Amateur;Fuego;NA;Marllamas;Marllamas;Podersolar;2;2;3;2;3;3;15;15;Normal
6_1;#0006;Charizard;;Charmander;Avanzada;Pro;Fuego;Volador;Marllamas;Marllamas;Podersolar;3;3;4;3;4;3;19;20;Rapido
6_2;#0006;Charizard;Mega-Charizard X;Charmander;Mega;Legend;Fuego;Dragon;Garradura;Garradura;Garradura;5;4;5;3;4;3;25;24;Fugaz
6_3;#0006;Charizard;Mega-Charizard Y;Charmander;Mega;Legend;Fuego;Volador;Sequia;Sequia;Sequia;4;3;6;4;4;3;25;24;Fugaz
7_1;#0007;Squirtle;;Squirtle;B sico;Begginer;Agua;NA;Torrente;Torrente;Curalluvia;1;2;2;2;1;2;10;10;Suave
8_1;#0008;Wartortle;;Squirtle;Evoluci¢n;Amateur;Agua;NA;Torrente;Torrente;Curalluvia;2;3;2;3;2;3;15;15;Suave
9_1;#0009;Blastoise;;Squirtle;Avanzada;Pro;Agua;NA;Torrente;Torrente;Curalluvia;3;4;3;4;3;3;19;20;Normal
9_2;#0009;Blastoise;Mega-Blastoise;Squirtle;Mega;Legend;Agua;NA;Megadisparador;Megadisparador;Megadisparador;4;4;5;4;3;3;25;23;Normal
10_1;#0010;Caterpie;;Caterpie;B sico;Starter;Bicho;NA;Polvoescudo;Polvoescudo;Fuga;1;1;1;1;1;2;8;7;Suave
11_1;#0011;Metapod;;Caterpie;Evoluci¢n;Starter;Bicho;NA;Mudar;Mudar;Mudar;1;2;1;1;1;3;11;9;Lento
12_1;#0012;Butterfree;;Caterpie;Avanzada;Amateur;Bicho;Volador;Ojocompuesto;Ojocompuesto;Cromolente;1;2;3;3;2;3;15;14;Normal
13_1;#0013;Weedle;;Weedle;B sico;Starter;Bicho;Veneno;Polvoescudo;Polvoescudo;Fuga;1;1;1;1;2;2;8;8;Suave
14_1;#0014;Kakuna;;Weedle;Evoluci¢n;Starter;Bicho;Veneno;Mudar;Mudar;Mudar;1;2;1;1;1;2;8;8;Lento
15_1;#0015;Beedrill;;Weedle;Avanzada;Amateur;Bicho;Veneno;Enjambre;Enjambre;Francotirador;3;1;1;3;3;3;15;14;Normal
15_2;#0015;Beedrill;Mega-Beedrill;Weedle;Mega;Legend;Bicho;Veneno;Adaptable;Adaptable;Adaptable;6;1;1;3;5;3;25;19;Rapido
